symbol,name,type
NICAD8182,NIC Asia Debenture 2081/82,bond
NICAD8283,11% NIC Asia Debenture 082/83,bond
NICAD85/86,NIC Asia Debenture 2085/86,bond
NICAD8586,NIC Asia Debenture 2085/86,bond
NICAELIS,NIC Asia Equity Linked Investment Scheme,fund
NICAP,NIC Asia Bank Limted Promoter Share,promoter
NICBF,NIC Asia Balanced Fund,fund
NICD83/84,10.25% NIC Asia Debenture 2083/84,bond
NICD88,NIC ASIA Bank Rinpatra 2088,bond
NICFC,NIC Asia Flexi Cap Fund,fund
NICGF,NIC Asia Growth Fund,fund
NICGF2,Nic Asia Growth Fund 2,fund
NICL,Nepal Insurance Co. Ltd.,equity
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,equity
NICLPO,Nepal Insurance Co. Ltd Promoter Share,promoter
NICSF,NIC Asia Select - 30 (Index Fund,fund
NIDC,NIDC Development Bank Ltd.,equity
NIDCPO,NIDC Development Bank Ltd. Promoter Share,promoter
NIFL,Nepal Infrastructures Investment Fund Limited,fund
NIFRA,Nepal Infrastructure Bank Limited,equity
NIFRAGED,Nifra Harit Urja Debenture 6%-2088/89,bond
NIFRAUR85/86,NIFRA Uraj Rinpatra7%-2085/86,bond
NIL,Neco Insurance Co. Ltd.,equity
NILPO,Neco Insurace Co. Ltd. Promoter,promoter
NIMB,Nepal Investment Mega Bank Limited,equity
NIMBD90,10% NIMB Debenture 2090,bond
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share ( NIMBPO,promoter
NKU,Nepal Khadya Udhyog Limited,equity
NLBBL,Nerude Laghubita Bittiya Sanstha Limited,equity
NLBBLP,Nerude Laghubita Bittiya Sanstha Limited Promoter Share,promoter
NLG,NLG Insurance Company Ltd.,equity
NLGPO,NLG Insurance Company Ltd. Promoter Share,promoter
NLIC,Nepal Life Insurance Co. Ltd.,equity
NLICL,National Life Insurance Co. Ltd.,equity
NLICLP,National Life Insurance Co. Ltd. Promoter Share,promoter
NLICP,Nepal Life Insurance Co. Ltd. Promoter,promoter
NLO,Nepal Lube Oil Limited,equity
NMB,NMB Bank Limited,equity
NMB50,NMB 50,equity
NMBD2085,10 % NMB DEBENTURE 2085,bond
NMBD87/88,8.50% NMB Rinpatra 2087/88,bond
NMBD89/90,NMB debenture 10.75% -2089/90,bond
NMBHF1,NMB Hybrid Fund L-1,fund
NMBHF2,NMB Hybrid Fund L-2,fund
NMBMF,NMB Microfinance Bittiya Sanstha Ltd.,equity
NMBMFP,NMB Microfinance Bittiya Sanstha Ltd. Promoter Share,promoter
NMBPNP,8.25% NMB Perpetual Non cumulative Preference Share 2081/82,bond
NMBPO,NMB Bank Limited Promoter Share,promoter
NMBSBF,NMB Saral Bachat Fund - E,fund
NMBUR93/94,NMB Energy Bond 4% - 2093/94,bond
NMFBS,National Microfinance Bittiya Sanstha Ltd.,equity
NMFBSP,National Microfinance Bittiya Sanstha Ltd. Promoter,promoter
NMIC,Nepal Micro Insurance Company Ltd.,equity
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited,equity
NNLB,Naya Nepal Laghubitta Bikas Bank Ltd.,equity
NNLBPO,Naya Nepal Laghubitta Bikas Bank Ltd. Promoter Share,promoter
NONLIFEINSU,Nonlife Insurance,index
NRIC,Nepal Reinsurance Company Limited,equity
NRICP,Nepal Reinsurance Company Limited Promoter Share,promoter
NRM,Nepal Republic Media Limited,equity
NRN,NRN Infrastructure and Development Limited,equity
NSEWAP,Nepal Seva Laghubitta Bittiya Sanstha Ltd. promoter share,promoter
NSIF2,NMB Sulav Investment Fund - II,fund
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,equity
NSM,Nepal Share Markets Ltd.,equity
NSMPO,Nepal Share Markets Limited Promoter Share,promoter
NSY,Nepal Life Samriddhi Lagani Yojana,fund
NTC,Nepal Doorsanchar Comapany Limited,equity
NTL,Nepal Tading Limited,equity
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,equity
NUBLPO,Nirdhan Utthan Bank Limited Promoter Share,promoter
NVG,Nepal Vanaspati Ghee Udhyog Limited,equity
NWC,Nepal Welfare Company Limited,equity
NWCL,Nepal Warehousing Company Ltd,equity
NYADI,Nyadi Hydropower Limited,equity
ODBL,Om Development Bank Ltd.,equity
ODBLPO,Om Development Bank Ltd. Promoter,promoter
OHL,Oriental Hotels Limited,equity
